"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::c421:7aff:fe1e:a51a","ff02::16","ICMPv6","96","Multicast Listener Report Message v2"
"2","0.000014","fe80::c421:7aff:fe1e:a51a","ff02::2","ICMPv6","76","Router Solicitation from c6:21:7a:1e:a5:1a"
"3","0.016992","fe80::c421:7aff:fe1e:a51a","ff02::16","ICMPv6","96","Multicast Listener Report Message v2"
"4","0.045581","fe80::c421:7aff:fe1e:a51a","ff02::16","ICMPv6","96","Multicast Listener Report Message v2"
"5","0.045649","fe80::c421:7aff:fe1e:a51a","ff02::16","ICMPv6","116","Multicast Listener Report Message v2"
"6","0.117844","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","227","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"7","0.149782","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","219","Standard query 0x0000 ANY a.1.5.a.e.1.e.f.f.f.a.7.1.2.4.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY meng-VM.local, ""QM"" question AAAA fe80::c421:7aff:fe1e:a51a PTR meng-VM.local"
"8","0.404896","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","219","Standard query 0x0000 ANY a.1.5.a.e.1.e.f.f.f.a.7.1.2.4.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY meng-VM.local, ""QM"" question AAAA fe80::c421:7aff:fe1e:a51a PTR meng-VM.local"
"9","0.656504","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","219","Standard query 0x0000 ANY a.1.5.a.e.1.e.f.f.f.a.7.1.2.4.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY meng-VM.local, ""QM"" question AAAA fe80::c421:7aff:fe1e:a51a PTR meng-VM.local"
"10","0.856756","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","207","Standard query response 0x0000 PTR, cache flush meng-VM.local AAAA, cache flush fe80::c421:7aff:fe1e:a51a"
"11","1.109218","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","227","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"12","1.458434","fe80::42:1bff:fe8a:5983","ff02::fb","MDNS","227","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"13","1.530163","02:42:ac:10:ee:0b","","ARP","48","Who has 172.16.238.2? Tell 172.16.238.11"
"14","1.950703","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","207","Standard query response 0x0000 PTR, cache flush meng-VM.local AAAA, cache flush fe80::c421:7aff:fe1e:a51a"
"15","3.129568","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","227","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"16","4.044365","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","207","Standard query response 0x0000 PTR, cache flush meng-VM.local AAAA, cache flush fe80::c421:7aff:fe1e:a51a"
"17","4.666242","fe80::c421:7aff:fe1e:a51a","ff02::2","ICMPv6","76","Router Solicitation from c6:21:7a:1e:a5:1a"
"18","5.455144","02:42:ac:10:ee:0a","","ARP","48","Who has 172.16.238.2? Tell 172.16.238.10"
"19","5.455246","02:42:ac:10:ee:02","","ARP","48","172.16.238.2 is at 02:42:ac:10:ee:02"
"20","5.622005","127.0.0.1","127.0.0.11","DNS","91","Standard query 0xc1d1 PTR 2.238.16.172.in-addr.arpa"
"21","5.700693","127.0.0.11","127.0.0.1","DNS","191","Standard query response 0xc1d1 PTR 2.238.16.172.in-addr.arpa PTR docker_compose_files-firewall-1.docker_compose_files_internet"
"22","5.820134","02:42:ac:10:ee:0a","","ARP","48","Who has 172.16.238.2? Tell 172.16.238.10"
"23","5.820177","02:42:ac:10:ee:02","","ARP","48","172.16.238.2 is at 02:42:ac:10:ee:02"
"24","5.820184","172.16.238.10","172.16.238.2","TCP","64","56805  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"25","5.820809","172.16.238.10","172.16.238.2","TCP","64","56805  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"26","5.820861","172.16.238.10","172.16.238.2","TCP","64","56805  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"27","5.820904","172.16.238.10","172.16.238.2","TCP","64","56805  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"28","5.821272","172.16.238.2","172.16.238.10","TCP","64","80  >  56805 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"29","5.821308","172.16.238.10","172.16.238.2","TCP","60","56805  >  80 [RST] Seq=1 Win=0 Len=0"
"30","5.822942","172.16.238.10","172.16.238.2","TCP","64","56805  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"31","5.822986","172.16.238.10","172.16.238.2","TCP","64","56805  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"32","5.823016","172.16.238.10","172.16.238.2","TCP","64","56805  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"33","5.823046","172.16.238.10","172.16.238.2","TCP","64","56805  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"34","5.823073","172.16.238.10","172.16.238.2","TCP","64","56805  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"35","5.823100","172.16.238.10","172.16.238.2","TCP","64","56805  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"36","5.827162","172.16.238.10","172.16.238.2","TCP","64","56805  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"37","5.827209","172.16.238.10","172.16.238.2","TCP","64","56805  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"38","6.922830","172.16.238.10","172.16.238.2","TCP","64","56807  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"39","6.922913","172.16.238.10","172.16.238.2","TCP","64","56807  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","6.922951","172.16.238.10","172.16.238.2","TCP","64","56807  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
